id_item,id_frente,data_referencia,contrato,programa,nucleo,equipe,logradouro,item_original,item_normalizado,categoria_item,tipo_registro,quantidade,unidade,material,especificacao,complemento,observacao_item,arquivo_origem,mensagem_origem,data,municipio,nucleo_detectado_texto,municipio_detectado_texto,nucleo_oficial,municipio_oficial,nucleo_status_cadastro,servico_bruto,servico_normalizado,servico_oficial,categoria,regra_disparada,municipio_conflitante_sem_cadastro
I0001,F001,04/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela Seis,Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,25,m,PEAD,Ø63,,,entrada_interface.txt,Prolongamento rede água (PEAD Ø63): 25 m,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0002,F002,04/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela 2,Ramais água,Execução de ramais de água,ramal_agua,servico,5,un,,,,,entrada_interface.txt,Ramais água: 5,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0003,F002,04/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela 2,Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,21,m,PEAD,Ø63,,,entrada_interface.txt,Prolongamento rede água (PEAD Ø63): 21 m,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0004,F003,04/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela Orinoco,Ramais água,Execução de ramais de água,ramal_agua,servico,11,un,,,,,entrada_interface.txt,Ramais água: 11,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0005,F003,04/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela Orinoco,Interligação,Execução de interligação de rede,interligacao,servico,1,un,,Ø63,1 (Ø63 x Ø32),,entrada_interface.txt,Interligação: 1 (Ø63 x Ø32),,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0006,F003,04/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela Orinoco,Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,7,m,PEAD,Ø32,,,entrada_interface.txt,Prolongamento rede água (PEAD Ø32): 7 m,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0007,F004,04/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,Tv. das Cerejas,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,7,un,,,,,entrada_interface.txt,Intradomiciliares: 7,,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,,,,,
I0008,F004,04/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,Tv. das Cerejas,Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,7,un,,,,,entrada_interface.txt,Hidrômetros instalados: 7,,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,,,,,
I0009,F005,04/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,Tv. das Cerejas / Tv. Haitiana,Ramais água,Execução de ramais de água,ramal_agua,servico,9,un,,,,,entrada_interface.txt,Ramais água: 9,,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,,,,,
I0010,F006,04/03/2026,Oeste 1,Água Legal,Cerejas,Amadeu,Travessa da Bete / Rua Dezesseis,Caixas UMA instaladas,Instalação de caixas UMA,caixa_uma,servico,2,un,,mureta,,com mureta,entrada_interface.txt,Caixas UMA instaladas (mureta): 2,,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,,,,,
I0011,F007,04/03/2026,Oeste 1,Água Legal,Vila Dirce,Ezequiel,Recomposição Asfáltica,Recomposição de valas,Recomposição de valas,recomposicao,servico,11,un,,,,,entrada_interface.txt,Recomposição de valas: 11,,Carapicuíba,Vila Dirce,Carapicuíba,Vila Dirce,Carapicuíba,cadastrado,,,,,,
I0001,F001,03/03/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Dep. Emílio Carlos / Travessa Haitiana,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,3,un,,,,,entrada_interface.txt,Intradomiciliares: 3,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0002,F001,03/03/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Dep. Emílio Carlos / Travessa Haitiana,Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,2,un,,,,,entrada_interface.txt,Hidrômetros instalados: 2,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0003,F002,03/03/2026,Oeste 1,Água Legal,José Bonifácio,Sidomar,"Rua José Bonifácio / Rua Brigadeiro Tobias, nº 159",Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,1,un,,,,,entrada_interface.txt,Intradomiciliares: 1,,Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,,,,,,
I0004,F002,03/03/2026,Oeste 1,Água Legal,José Bonifácio,Sidomar,"Rua José Bonifácio / Rua Brigadeiro Tobias, nº 159",Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,1,un,,,,,entrada_interface.txt,Hidrômetros instalados: 1,,Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,,,,,,
I0005,F002,03/03/2026,Oeste 1,Água Legal,José Bonifácio,Sidomar,"Rua José Bonifácio / Rua Brigadeiro Tobias, nº 159",Caixas UMA instaladas,Instalação de caixas UMA,caixa_uma,servico,1,un,,,,,entrada_interface.txt,Caixas UMA instaladas: 1,,Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,,,,,,
I0006,F003,03/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela 2,Ramais água,Execução de ramais de água,ramal_agua,servico,7,un,,,,,entrada_interface.txt,Ramais água: 7,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0007,F003,03/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela 2,Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,16,m,PEAD,Ø63,,,entrada_interface.txt,Prolongamento rede água (PEAD Ø63): 16 m,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0008,F004,03/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela 7,Ramais água,Execução de ramais de água,ramal_agua,servico,15,un,,,,,entrada_interface.txt,Ramais água: 15,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0009,F005,03/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela 6 / Viela 7,Interligação Ø63 x Ø63,Execução de interligação de rede Ø63 x Ø63,interligacao,servico,1,un,,,,,entrada_interface.txt,Interligação Ø63 x Ø63: 1,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0010,F005,03/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela 6 / Viela 7,Prolongamento rede,Prolongamento de rede,rede_agua,servico,29,m,,Ø63,,,entrada_interface.txt,Prolongamento rede (Ø63): 29 m,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0011,F006,03/03/2026,Oeste 1,Água Legal,Santa Terezinha,Ezequiel,Recomposição Asfáltica,Recomposição de valas,Recomposição de valas,recomposicao,servico,10,vala,,,10 valas recompostas (Av. Dep. Emílio Carlos),,entrada_interface.txt,10 valas recompostas (Av. Dep. Emílio Carlos),,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0001,F001,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,Av. Deputado Emílio Carlos,Capeamento de rede,Capeamento de rede,capeamento,servico,1,servico,PVC,Ø100,executado,,consolidado_2026_03_09.txt,Capeamento de rede PVC Ø100: 1 serviço executado,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0002,F001,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,Av. Deputado Emílio Carlos,Caps utilizados,Caps utilizados,insumo,insumo,2,un,,,,,consolidado_2026_03_09.txt,Caps utilizados: 2,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0003,F001,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,Av. Deputado Emílio Carlos,Concretagem de vala realizada,Concretagem de vala,acabamento,servico,1,servico,,,,,consolidado_2026_03_09.txt,Concretagem de vala realizada,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0004,F003,09/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela Mississipi,Corte de pavimento com serra clip para troca de trecho da rede de esgoto,Corte de pavimento com serra clip,apoio_operacional,apoio_operacional,1,servico,,,,,consolidado_2026_03_09.txt,Corte de pavimento com serra clip para troca de trecho da rede de esgoto.,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0005,F004,09/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,Tv. Haitiana / Tv. do Bala / Tv. do Bete,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,6,un,,,,,consolidado_2026_03_09.txt,Intradomiciliares: 6,,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,,,,,
I0006,F004,09/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,Tv. Haitiana / Tv. do Bala / Tv. do Bete,Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,6,un,,,,,consolidado_2026_03_09.txt,Hidrômetros instalados: 6,,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,,,,,
I0007,F005,09/03/2026,Oeste 1,Água Legal,Cerejas,Amadeu,Travessa Haitiana / Rua Dezesseis,Caixas UMA instaladas,Instalação de caixas UMA,caixa_uma,servico,1,un,,,,,consolidado_2026_03_09.txt,Caixas UMA instaladas: 1,,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,,,,,
I0008,F006,09/03/2026,Oeste 1,Água Legal,Vila Dirce,Ezequiel,Recomposição Asfáltica,Recomposição de valas,Recomposição de valas,recomposicao,servico,3,un,,,,,consolidado_2026_03_09.txt,Recomposição de valas: 3,,Carapicuíba,Vila Dirce,Carapicuíba,Vila Dirce,Carapicuíba,cadastrado,,,,,,
I0001,F001,03/03/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Dep. Emílio Carlos / Travessa Haitiana,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,3,un,,,,,consolidado_2026_03_03.txt,Intradomiciliares: 3,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0002,F001,03/03/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Dep. Emílio Carlos / Travessa Haitiana,Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,2,un,,,,,consolidado_2026_03_03.txt,Hidrômetros instalados: 2,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0003,F002,03/03/2026,Oeste 1,Água Legal,José Bonifácio,Sidomar,"Rua José Bonifácio / Rua Brigadeiro Tobias, nº 159",Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,1,un,,,,,consolidado_2026_03_03.txt,Intradomiciliares: 1,,Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,,,,,,
I0004,F002,03/03/2026,Oeste 1,Água Legal,José Bonifácio,Sidomar,"Rua José Bonifácio / Rua Brigadeiro Tobias, nº 159",Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,1,un,,,,,consolidado_2026_03_03.txt,Hidrômetros instalados: 1,,Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,,,,,,
I0005,F002,03/03/2026,Oeste 1,Água Legal,José Bonifácio,Sidomar,"Rua José Bonifácio / Rua Brigadeiro Tobias, nº 159",Caixas UMA instaladas,Instalação de caixas UMA,caixa_uma,servico,1,un,,,,,consolidado_2026_03_03.txt,Caixas UMA instaladas: 1,,Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,,,,,,
I0006,F003,03/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela 2,Ramais água,Execução de ramais de água,ramal_agua,servico,7,un,,,,,consolidado_2026_03_03.txt,Ramais água: 7,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0007,F003,03/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela 2,Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,16,m,PEAD,Ø63,,,consolidado_2026_03_03.txt,Prolongamento rede água (PEAD Ø63): 16 m,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0008,F004,03/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela 7,Ramais água,Execução de ramais de água,ramal_agua,servico,15,un,,,,,consolidado_2026_03_03.txt,Ramais água: 15,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0009,F005,03/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela 6 / Viela 7,Interligação Ø63 x Ø63,Execução de interligação de rede Ø63 x Ø63,interligacao,servico,1,un,,,,,consolidado_2026_03_03.txt,Interligação Ø63 x Ø63: 1,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0010,F005,03/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela 6 / Viela 7,Prolongamento rede,Prolongamento de rede,rede_agua,servico,29,m,,Ø63,,,consolidado_2026_03_03.txt,Prolongamento rede (Ø63): 29 m,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0011,F006,03/03/2026,Oeste 1,Água Legal,Santa Terezinha,Ezequiel,Recomposição Asfáltica,Recomposição de valas,Recomposição de valas,recomposicao,servico,10,vala,,,10 valas recompostas (Av. Dep. Emílio Carlos),,consolidado_2026_03_03.txt,10 valas recompostas (Av. Dep. Emílio Carlos),,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0001,F001,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,Av. Deputado Emílio Carlos,Capeamento de rede,Capeamento de rede,capeamento,servico,1,servico,PVC,Ø100,executado,,mensagem_web_20260311_191839.txt,Capeamento de rede PVC Ø100: 1 serviço executado,09/03/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0002,F001,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,Av. Deputado Emílio Carlos,Caps utilizados,Caps utilizados,insumo,insumo,2,un,,,,,mensagem_web_20260311_191839.txt,Caps utilizados: 2,09/03/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0003,F001,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,Av. Deputado Emílio Carlos,Concretagem de vala realizada,Concretagem de vala,acabamento,servico,1,servico,,,,,mensagem_web_20260311_191839.txt,Concretagem de vala realizada,09/03/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0004,F003,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,Av. Deputado Emílio Carlos,Corte de pavimento com serra clip para troca de trecho da rede de esgoto,Corte de pavimento com serra clip,apoio_operacional,apoio_operacional,1,servico,,,,,mensagem_web_20260311_191839.txt,Corte de pavimento com serra clip para troca de trecho da rede de esgoto.,09/03/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0005,F004,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,Av. Deputado Emílio Carlos,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,6,un,,,,,mensagem_web_20260311_191839.txt,Intradomiciliares: 6,09/03/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0006,F004,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,Av. Deputado Emílio Carlos,Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,6,un,,,,,mensagem_web_20260311_191839.txt,Hidrômetros instalados: 6,09/03/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0007,F005,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,Av. Deputado Emílio Carlos,Caixas UMA instaladas,Instalação de caixas UMA,caixa_uma,servico,1,un,,,,,mensagem_web_20260311_191839.txt,Caixas UMA instaladas: 1,09/03/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0008,F006,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,Av. Deputado Emílio Carlos,Recomposição de valas,Recomposição de valas,recomposicao,servico,3,un,,,,,mensagem_web_20260311_191839.txt,Recomposição de valas: 3,09/03/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0001,F001,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,1,un,,,,,mensagem_web_20260311_200659.txt,Intradomiciliares: 1,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0002,F001,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,1,un,,,,,mensagem_web_20260311_200659.txt,Hidrômetros instalados: 1,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0003,F002,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,21,m,PEAD,Ø63,,,mensagem_web_20260311_200659.txt,Prolongamento rede água (PEAD Ø63): 21 m,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0004,F003,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Ramais água,Execução de ramais de água,ramal_agua,servico,14,un,,,,,mensagem_web_20260311_200659.txt,Ramais água: 14,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0005,F004,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,3,un,,,,,mensagem_web_20260311_200659.txt,Intradomiciliares: 3,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0001,F001,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,1,un,,,,,mensagem_web_20260311_202851.txt,Intradomiciliares: 1,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuiba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0002,F001,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,1,un,,,,,mensagem_web_20260311_202851.txt,Hidrômetros instalados: 1,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuiba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
