id_item,id_frente,data_referencia,contrato,programa,nucleo,equipe,logradouro,item_original,item_normalizado,categoria_item,tipo_registro,quantidade,unidade,material,especificacao,complemento,observacao_item,arquivo_origem,mensagem_origem,data,municipio,nucleo_detectado_texto,municipio_detectado_texto,nucleo_oficial,municipio_oficial,nucleo_status_cadastro,servico_bruto,servico_normalizado,servico_oficial,categoria,regra_disparada,municipio_conflitante_sem_cadastro
I0003,F002,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,21,m,PEAD,Ø63,,,mensagem_web_20260311_202851.txt,Prolongamento rede água (PEAD Ø63): 21 m,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuiba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0004,F003,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Ramais água,Execução de ramais de água,ramal_agua,servico,14,un,,,,,mensagem_web_20260311_202851.txt,Ramais água: 14,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuiba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0005,F004,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,3,un,,,,,mensagem_web_20260311_202851.txt,Intradomiciliares: 3,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuiba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0001,F001,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,1,un,,,,,mensagem_web_20260311_204052.txt,Intradomiciliares: 1,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0002,F001,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,1,un,,,,,mensagem_web_20260311_204052.txt,Hidrômetros instalados: 1,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0003,F002,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,21,m,PEAD,Ø63,,,mensagem_web_20260311_204052.txt,Prolongamento rede água (PEAD Ø63): 21 m,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0004,F003,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Ramais água,Execução de ramais de água,ramal_agua,servico,14,un,,,,,mensagem_web_20260311_204052.txt,Ramais água: 14,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0005,F004,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,3,un,,,,,mensagem_web_20260311_204052.txt,Intradomiciliares: 3,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0001,F001,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,✅ Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,14,un,,,,,mensagem_web_20260311_214832.txt,✅ Intradomiciliares: 14,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0002,F001,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,✅ Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,14,un,,,,,mensagem_web_20260311_214832.txt,✅ Hidrômetros instalados: 14,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0003,F002,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,✅ Ramais água,Execução de ramais de água,ramal_agua,servico,3,un,,,,,mensagem_web_20260311_214832.txt,✅ Ramais água: 3,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0004,F003,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,✅ Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,52,m,PEAD,,,,mensagem_web_20260311_214832.txt,✅ Prolongamento rede água (PEAD Ø63): 52 m,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0005,F004,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,✅ Prolongamento rede,Prolongamento de rede,rede_agua,servico,19,m,,Ø63,,,mensagem_web_20260311_214832.txt,✅ Prolongamento rede (Ø63): 19 m,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0006,F005,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,✅ Ramais esgoto,Execução de ramais de esgoto,ramal_esgoto,servico,3,un,,,,,mensagem_web_20260311_214832.txt,✅ Ramais esgoto: 3,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0007,F005,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,🧱 Serviço complementar,Instalacao de Caixa de Inspecao,caixa_inspecao,servico,1,servico,,,"Instalação de Caixa de Inspeção (0,80 x 0,80)",,mensagem_web_20260311_214832.txt,"🧱 Serviço complementar: Instalação de Caixa de Inspeção (0,80 x 0,80)",27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0008,F006,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,✅ Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,8,un,,,,,mensagem_web_20260311_214832.txt,✅ Intradomiciliares: 8,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0009,F006,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,✅ Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,5,un,,,,,mensagem_web_20260311_214832.txt,✅ Hidrômetros instalados: 5,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0010,F007,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,✅ Caixas UMA,Instalação de caixas UMA,caixa_uma,servico,16,un,,,,,mensagem_web_20260311_214832.txt,✅ Caixas UMA: 16,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0011,F007,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,▪️ Embutida,Instalacao de caixas UMA,caixa_uma,servico,7,un,,,,,mensagem_web_20260311_214832.txt,▪️ Embutida: 7,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0012,F007,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,▪️ Mureta,Instalacao de caixas UMA,caixa_uma,servico,9,un,,,,,mensagem_web_20260311_214832.txt,▪️ Mureta: 9,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0001,F001,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,✅ Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,14,un,,,,,mensagem_web_20260311_223741.txt,✅ Intradomiciliares: 14,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0002,F001,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,✅ Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,14,un,,,,,mensagem_web_20260311_223741.txt,✅ Hidrômetros instalados: 14,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0003,F002,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidney,Rua Rio Tocantins,✅ Ramais água,Execução de ramais de água,ramal_agua,servico,3,un,,,,,mensagem_web_20260311_223741.txt,✅ Ramais água: 3,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0004,F003,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Carlos,Viela Mississipi,✅ Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,52,m,PEAD,,,,mensagem_web_20260311_223741.txt,✅ Prolongamento rede água (PEAD Ø63): 52 m,27/02/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0005,F004,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Xavier,Tv. Rancharia / Rua Rio Tocantins,✅ Prolongamento rede,Prolongamento de rede,rede_agua,servico,19,m,,Ø63,,,mensagem_web_20260311_223741.txt,✅ Prolongamento rede (Ø63): 19 m,27/02/2026,Barueri,Viela 1 / Viela 7,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0006,F005,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Weslyn,Viela Mississipi,✅ Ramais esgoto,Execução de ramais de esgoto,ramal_esgoto,servico,3,un,,,,,mensagem_web_20260311_223741.txt,✅ Ramais esgoto: 3,27/02/2026,Barueri,Mississipi — Esgoto,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0007,F005,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Weslyn,Viela Mississipi,🧱 Serviço complementar,Instalacao de Caixa de Inspecao,caixa_inspecao,servico,1,servico,,,"Instalação de Caixa de Inspeção (0,80 x 0,80)",,mensagem_web_20260311_223741.txt,"🧱 Serviço complementar: Instalação de Caixa de Inspeção (0,80 x 0,80)",27/02/2026,Barueri,Mississipi — Esgoto,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0008,F006,27/02/2026,Oeste 1,Ãgua Legal,Cerejas,Reggis,Tv. Haitiana / Tv. do Alemão / Tv. do Bala / Rua Dezesseis,✅ Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,8,un,,,,,mensagem_web_20260311_223741.txt,✅ Intradomiciliares: 8,27/02/2026,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,,,,,
I0009,F006,27/02/2026,Oeste 1,Ãgua Legal,Cerejas,Reggis,Tv. Haitiana / Tv. do Alemão / Tv. do Bala / Rua Dezesseis,✅ Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,5,un,,,,,mensagem_web_20260311_223741.txt,✅ Hidrômetros instalados: 5,27/02/2026,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,,,,,
I0010,F007,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Paulo Vilela,Tv. Rancharia / Rua Rio Tocantins,✅ Caixas UMA,Instalação de caixas UMA,caixa_uma,servico,16,un,,,,,mensagem_web_20260311_223741.txt,✅ Caixas UMA: 16,27/02/2026,Barueri,Mississipi — Caixa UMA,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0011,F007,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Paulo Vilela,Tv. Rancharia / Rua Rio Tocantins,▪️ Embutida,Instalacao de caixas UMA,caixa_uma,servico,7,un,,,,,mensagem_web_20260311_223741.txt,▪️ Embutida: 7,27/02/2026,Barueri,Mississipi — Caixa UMA,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0012,F007,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Paulo Vilela,Tv. Rancharia / Rua Rio Tocantins,▪️ Mureta,Instalacao de caixas UMA,caixa_uma,servico,9,un,,,,,mensagem_web_20260311_223741.txt,▪️ Mureta: 9,27/02/2026,Barueri,Mississipi — Caixa UMA,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0001,F001,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,✅ Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,14,un,,,,,mensagem_web_20260311_224554.txt,✅ Intradomiciliares: 14,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0002,F001,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,✅ Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,14,un,,,,,mensagem_web_20260311_224554.txt,✅ Hidrômetros instalados: 14,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0003,F002,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidney,Rua Rio Tocantins,✅ Ramais água,Execução de ramais de água,ramal_agua,servico,3,un,,,,,mensagem_web_20260311_224554.txt,✅ Ramais água: 3,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0004,F003,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Carlos,Viela Mississipi,✅ Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,52,m,PEAD,,,,mensagem_web_20260311_224554.txt,✅ Prolongamento rede água (PEAD Ø63): 52 m,27/02/2026,Barueri,Mississipi,Carapicuíba,Mississipi,Barueri,cadastrado,,,,,,
I0005,F004,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Xavier,Viela 1 / Viela 7,✅ Prolongamento rede,Prolongamento de rede,rede_agua,servico,19,m,,Ø63,,,mensagem_web_20260311_224554.txt,✅ Prolongamento rede (Ø63): 19 m,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0006,F005,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Weslyn,Viela Mississipi,✅ Ramais esgoto,Execução de ramais de esgoto,ramal_esgoto,servico,3,un,,,,,mensagem_web_20260311_224554.txt,✅ Ramais esgoto: 3,27/02/2026,Barueri,Mississipi,Carapicuíba,Mississipi,Barueri,cadastrado,,,,,,
I0007,F005,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Weslyn,Viela Mississipi,🧱 Serviço complementar,Instalacao de Caixa de Inspecao,caixa_inspecao,servico,1,servico,,,"Instalação de Caixa de Inspeção (0,80 x 0,80)",,mensagem_web_20260311_224554.txt,"🧱 Serviço complementar: Instalação de Caixa de Inspeção (0,80 x 0,80)",27/02/2026,Barueri,Mississipi,Carapicuíba,Mississipi,Barueri,cadastrado,,,,,,
I0008,F006,27/02/2026,Oeste 1,Ãgua Legal,Cerejas,Reggis,Tv. Haitiana / Tv. do Alemão / Tv. do Bala / Rua Dezesseis,✅ Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,8,un,,,,,mensagem_web_20260311_224554.txt,✅ Intradomiciliares: 8,27/02/2026,Jandira,Cerejas,Carapicuíba,Cerejas,Jandira,cadastrado,,,,,,
I0009,F006,27/02/2026,Oeste 1,Ãgua Legal,Cerejas,Reggis,Tv. Haitiana / Tv. do Alemão / Tv. do Bala / Rua Dezesseis,✅ Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,5,un,,,,,mensagem_web_20260311_224554.txt,✅ Hidrômetros instalados: 5,27/02/2026,Jandira,Cerejas,Carapicuíba,Cerejas,Jandira,cadastrado,,,,,,
I0010,F007,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Paulo Vilela,Tv. Rancharia / Rua Rio Tocantins,✅ Caixas UMA,Instalação de caixas UMA,caixa_uma,servico,16,un,,,,,mensagem_web_20260311_224554.txt,✅ Caixas UMA: 16,27/02/2026,Barueri,Mississipi,Carapicuíba,Mississipi,Barueri,cadastrado,,,,,,
I0011,F007,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Paulo Vilela,Tv. Rancharia / Rua Rio Tocantins,▪️ Embutida,Instalacao de caixas UMA,caixa_uma,servico,7,un,,,,,mensagem_web_20260311_224554.txt,▪️ Embutida: 7,27/02/2026,Barueri,Mississipi,Carapicuíba,Mississipi,Barueri,cadastrado,,,,,,
I0012,F007,27/02/2026,Oeste 1,Ãgua Legal,Mississipi,Paulo Vilela,Tv. Rancharia / Rua Rio Tocantins,▪️ Mureta,Instalacao de caixas UMA,caixa_uma,servico,9,un,,,,,mensagem_web_20260311_224554.txt,▪️ Mureta: 9,27/02/2026,Barueri,Mississipi,Carapicuíba,Mississipi,Barueri,cadastrado,,,,,,
I0001,F001,03/03/2026,Oeste 1,Ãgua Legal,Santa Terezinha,Reggis,Av. Dep. Emílio Carlos / Travessa Haitiana,✅ Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,3,un,,,,,consolidado_2026_03_03.txt,✅ Intradomiciliares: 3,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0002,F001,03/03/2026,Oeste 1,Ãgua Legal,Santa Terezinha,Reggis,Av. Dep. Emílio Carlos / Travessa Haitiana,✅ Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,2,un,,,,,consolidado_2026_03_03.txt,✅ Hidrômetros instalados: 2,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0003,F002,03/03/2026,Oeste 1,Ãgua Legal,José Bonifácio,Sidomar,"Rua José Bonifácio / Rua Brigadeiro Tobias, nº 159",✅ Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,1,un,,,,,consolidado_2026_03_03.txt,✅ Intradomiciliares: 1,,Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,,,,,,
I0004,F002,03/03/2026,Oeste 1,Ãgua Legal,José Bonifácio,Sidomar,"Rua José Bonifácio / Rua Brigadeiro Tobias, nº 159",✅ Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,1,un,,,,,consolidado_2026_03_03.txt,✅ Hidrômetros instalados: 1,,Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,,,,,,
I0005,F002,03/03/2026,Oeste 1,Ãgua Legal,José Bonifácio,Sidomar,"Rua José Bonifácio / Rua Brigadeiro Tobias, nº 159",✅ Caixas UMA instaladas,Instalação de caixas UMA,caixa_uma,servico,1,un,,,,,consolidado_2026_03_03.txt,✅ Caixas UMA instaladas: 1,,Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,,,,,,
I0006,F003,03/03/2026,Oeste 1,Ãgua Legal,Mississipi,Xavier,Viela 2,✅ Ramais água,Execução de ramais de água,ramal_agua,servico,7,un,,,,,consolidado_2026_03_03.txt,✅ Ramais água: 7,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0007,F003,03/03/2026,Oeste 1,Ãgua Legal,Mississipi,Xavier,Viela 2,✅ Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,16,m,PEAD,,,,consolidado_2026_03_03.txt,✅ Prolongamento rede água (PEAD Ø63): 16 m,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0008,F004,03/03/2026,Oeste 1,Ãgua Legal,Mississipi,Weslyn,Viela 7,✅ Ramais água,Execução de ramais de água,ramal_agua,servico,15,un,,,,,consolidado_2026_03_03.txt,✅ Ramais água: 15,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0009,F005,03/03/2026,Oeste 1,Ãgua Legal,Mississipi,Carlos,Viela 6 / Viela 7,✅ Interligação Ø63 x Ø63,Execução de interligação de rede 63 x 63,interligacao,servico,1,un,,,,,consolidado_2026_03_03.txt,✅ Interligação Ø63 x Ø63: 1,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0010,F005,03/03/2026,Oeste 1,Ãgua Legal,Mississipi,Carlos,Viela 6 / Viela 7,✅ Prolongamento rede,Prolongamento de rede,rede_agua,servico,29,m,,Ø63,,,consolidado_2026_03_03.txt,✅ Prolongamento rede (Ø63): 29 m,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0001,F001,10/03/2026,Oeste 1,Ãgua Legal,Mississipi,Weslyn,Viela 3 / Viela 4 / Viela 5,✅ Ramais água,Execução de ramais de água,ramal_agua,servico,4,un,,,,,mensagem_web_20260316_081616.txt,✅ Ramais água: 4,10/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
I0002,F001,10/03/2026,Oeste 1,Ãgua Legal,Mississipi,Weslyn,Viela 3 / Viela 4 / Viela 5,✅ Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,22,m,PEAD,,,,mensagem_web_20260316_081616.txt,✅ Prolongamento rede água (PEAD Ø32): 22 m,10/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,,,,,
