id_ocorrencia,id_frente,data_referencia,contrato,programa,nucleo,equipe,tipo_ocorrencia,descricao,impacto_producao,arquivo_origem,data,logradouro,municipio,nucleo_detectado_texto,municipio_detectado_texto,nucleo_oficial,municipio_oficial,nucleo_status_cadastro,municipio_conflitante_sem_cadastro
O0001,F001,04/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,ocorrencia_operacional,"Execução com interferências no trajeto (rede de esgoto, rede de água e presença de pedras/rochas), exigindo maior cautela na escavação.",parcial,entrada_interface.txt,,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0001,F001,03/03/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,vistoria,"Realizados cortes d’água, vistoria de Caixa UMA e reparos de vazamentos.",parcial,entrada_interface.txt,,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,
O0002,F002,03/03/2026,Oeste 1,Água Legal,José Bonifácio,Sidomar,vistoria,"Equipe direcionada para vistorias de vazamento e verificação de contas altas (Viela Diamante nº 33 / Viela 1 nº 8 / Viela 2 nº 3 / Viela Ametista nº 6), impactando a produtividade.",parcial,entrada_interface.txt,,,Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,
O0003,F003,03/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,restricao_operacional,Produtividade impactada pela espera da mangueira do compressor.,parcial,entrada_interface.txt,,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0001,F001,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,clima,Atividades paralisadas no período da manhã devido à chuva. Serviço executado após fechamento da rede.,sim,consolidado_2026_03_09.txt,,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,
O0002,F002,09/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,sem_producao,Sem produção,sim,consolidado_2026_03_09.txt,,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0003,F002,09/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,clima,"Atividades interrompidas devido à tempestade, impossibilitando abertura de valas e execução dos serviços.",sim,consolidado_2026_03_09.txt,,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0004,F003,09/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,clima,"Devido à chuva contínua durante todo o dia, não foi possível executar a escavação da vala.",sim,consolidado_2026_03_09.txt,,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0001,F001,03/03/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,vistoria,"Realizados cortes d’água, vistoria de Caixa UMA e reparos de vazamentos.",parcial,consolidado_2026_03_03.txt,,,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,
O0002,F002,03/03/2026,Oeste 1,Água Legal,José Bonifácio,Sidomar,vistoria,"Equipe direcionada para vistorias de vazamento e verificação de contas altas (Viela Diamante nº 33 / Viela 1 nº 8 / Viela 2 nº 3 / Viela Ametista nº 6), impactando a produtividade.",parcial,consolidado_2026_03_03.txt,,,Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,
O0003,F003,03/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,restricao_operacional,Produtividade impactada pela espera da mangueira do compressor.,parcial,consolidado_2026_03_03.txt,,,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0001,F001,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,clima,Atividades paralisadas no período da manhã devido à chuva. Serviço executado após fechamento da rede.,sim,mensagem_web_20260311_191839.txt,09/03/2026,Av. Deputado Emílio Carlos,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,
O0002,F002,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,sem_producao,Sem produção,sim,mensagem_web_20260311_191839.txt,09/03/2026,Av. Deputado Emílio Carlos,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,
O0003,F002,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,clima,"Atividades interrompidas devido à tempestade, impossibilitando abertura de valas e execução dos serviços.",sim,mensagem_web_20260311_191839.txt,09/03/2026,Av. Deputado Emílio Carlos,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,
O0004,F003,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,clima,"Devido à chuva contínua durante todo o dia, não foi possível executar a escavação da vala.",sim,mensagem_web_20260311_191839.txt,09/03/2026,Av. Deputado Emílio Carlos,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,
O0001,F002,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,ocorrencia_operacional,Equipe reduzida (4 membros). Apoio de 1 colaborador da equipe Sidney.,parcial,mensagem_web_20260311_200659.txt,28/02/2026,Av. Deputado Emílio Carlos,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,
O0001,F002,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,ocorrencia_operacional,Equipe reduzida (4 membros). Apoio de 1 colaborador da equipe Sidney.,parcial,mensagem_web_20260311_202851.txt,28/02/2026,Av. Deputado Emílio Carlos,Carapicuíba,Santa Terezinha,Carapicuiba,Santa Terezinha,Carapicuíba,cadastrado,
O0001,F002,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,ocorrencia_operacional,Equipe reduzida (4 membros). Apoio de 1 colaborador da equipe Sidney.,parcial,mensagem_web_20260311_204052.txt,28/02/2026,Av. Deputado Emílio Carlos,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,
O0001,F001,03/03/2026,Oeste 1,Ãgua Legal,Santa Terezinha,Reggis,vistoria,"📌 Obs: Realizados cortes d’água, vistoria de Caixa UMA e reparos de vazamentos.",parcial,consolidado_2026_03_03.txt,,Av. Dep. Emílio Carlos / Travessa Haitiana,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,
O0002,F002,03/03/2026,Oeste 1,Ãgua Legal,José Bonifácio,Sidomar,vistoria,"⚠️ Obs: Equipe direcionada para vistorias de vazamento e verificação de contas altas (Viela Diamante nº 33 / Viela 1 nº 8 / Viela 2 nº 3 / Viela Ametista nº 6), impactando a produtividade.",parcial,consolidado_2026_03_03.txt,,"Rua José Bonifácio / Rua Brigadeiro Tobias, nº 159",Jandira,José Bonifácio,Jandira,José Bonifácio,Jandira,cadastrado,
O0003,F003,03/03/2026,Oeste 1,Ãgua Legal,Mississipi,Xavier,restricao_operacional,⚠️ Obs: Produtividade impactada pela espera da mangueira do compressor.,parcial,consolidado_2026_03_03.txt,,Viela 2,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0001,F001,10/03/2026,Oeste 1,Ãgua Legal,Mississipi,Weslyn,clima,"⚠️ Obs: Produção impactada pela chuva, além de falhas em equipamentos (motor de arranque do caminhão, perfuratriz pneumática e serra clip). Parte da equipe também atuou no reparo de vazamento em rede antiga.",parcial,mensagem_web_20260316_081616.txt,10/03/2026,Viela 3 / Viela 4 / Viela 5,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0002,F002,10/03/2026,Oeste 1,Ãgua Legal,Cerejas,Sidney,ocorrencia_operacional,⚠️ Obs: Produção afetada pelo tempo chuvoso. Equipe atuando também na resolução de pendências e execução de novo ramal para imóvel não localizado anteriormente.,parcial,mensagem_web_20260316_081616.txt,10/03/2026,Tv. Haitiana / Rua Dezesseis,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,
O0003,F003,10/03/2026,Oeste 1,Ãgua Legal,Cerejas,Reggis,clima,⚠️ Obs: Equipe também realizou conferência de leituras de hidrômetros e endereços dos imóveis. Produção impactada pela chuva.,parcial,mensagem_web_20260316_081616.txt,10/03/2026,Tv. do Alemão / Tv. do Bala / Tv. da Bete,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,
O0001,F001,10/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,clima,"⚠️ Obs: Produção impactada pela chuva, além de falhas em equipamentos (motor de arranque do caminhão, perfuratriz pneumática e serra clip). Parte da equipe também atuou no reparo de vazamento em rede antiga.",parcial,mensagem_web_20260316_084210.txt,10/03/2026,Viela 3 / Viela 4 / Viela 5,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0002,F002,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,ocorrencia_operacional,⚠️ Obs: Produção afetada pelo tempo chuvoso. Equipe atuando também na resolução de pendências e execução de novo ramal para imóvel não localizado anteriormente.,parcial,mensagem_web_20260316_084210.txt,10/03/2026,Tv. Haitiana / Rua Dezesseis,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,
O0003,F003,10/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,clima,⚠️ Obs: Equipe também realizou conferência de leituras de hidrômetros e endereços dos imóveis. Produção impactada pela chuva.,parcial,mensagem_web_20260316_084210.txt,10/03/2026,Tv. do Alemão / Tv. do Bala / Tv. da Bete,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,
O0001,F001,10/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,clima,"⚠️ Obs: Produção impactada pela chuva, além de falhas em equipamentos (motor de arranque do caminhão, perfuratriz pneumática e serra clip). Parte da equipe também atuou no reparo de vazamento em rede antiga.",parcial,mensagem_web_20260316_085227.txt,10/03/2026,Viela 3 / Viela 4 / Viela 5,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0002,F002,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,ocorrencia_operacional,⚠️ Obs: Produção afetada pelo tempo chuvoso. Equipe atuando também na resolução de pendências e execução de novo ramal para imóvel não localizado anteriormente.,parcial,mensagem_web_20260316_085227.txt,10/03/2026,Tv. Haitiana / Rua Dezesseis,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,
O0003,F003,10/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,clima,⚠️ Obs: Equipe também realizou conferência de leituras de hidrômetros e endereços dos imóveis. Produção impactada pela chuva.,parcial,mensagem_web_20260316_085227.txt,10/03/2026,Tv. do Alemão / Tv. do Bala / Tv. da Bete,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,
O0001,F001,10/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,clima,"⚠️ Obs: Produção impactada pela chuva, além de falhas em equipamentos (motor de arranque do caminhão, perfuratriz pneumática e serra clip). Parte da equipe também atuou no reparo de vazamento em rede antiga.",parcial,mensagem_web_20260316_092439.txt,10/03/2026,Viela 3 / Viela 4 / Viela 5,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0002,F002,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,ocorrencia_operacional,⚠️ Obs: Produção afetada pelo tempo chuvoso. Equipe atuando também na resolução de pendências e execução de novo ramal para imóvel não localizado anteriormente.,parcial,mensagem_web_20260316_092439.txt,10/03/2026,Tv. Haitiana / Rua Dezesseis,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,
O0003,F003,10/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,clima,⚠️ Obs: Equipe também realizou conferência de leituras de hidrômetros e endereços dos imóveis. Produção impactada pela chuva.,parcial,mensagem_web_20260316_092439.txt,10/03/2026,Tv. do Alemão / Tv. do Bala / Tv. da Bete,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,
O0001,F001,10/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,clima,"⚠️ Obs: Produção impactada pela chuva, além de falhas em equipamentos (motor de arranque do caminhão, perfuratriz pneumática e serra clip). Parte da equipe também atuou no reparo de vazamento em rede antiga.",parcial,mensagem_web_20260316_093444.txt,10/03/2026,Viela 3 / Viela 4 / Viela 5,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0002,F002,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,ocorrencia_operacional,⚠️ Obs: Produção afetada pelo tempo chuvoso. Equipe atuando também na resolução de pendências e execução de novo ramal para imóvel não localizado anteriormente.,parcial,mensagem_web_20260316_093444.txt,10/03/2026,Tv. Haitiana / Rua Dezesseis,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,
O0003,F003,10/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,clima,⚠️ Obs: Equipe também realizou conferência de leituras de hidrômetros e endereços dos imóveis. Produção impactada pela chuva.,parcial,mensagem_web_20260316_093444.txt,10/03/2026,Tv. do Alemão / Tv. do Bala / Tv. da Bete,Jandira,Cerejas,Barueri,Cerejas,Jandira,cadastrado,
O0001,F001,10/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,clima,"⚠️ Obs: Produção impactada pela chuva, além de falhas em equipamentos (motor de arranque do caminhão, perfuratriz pneumática e serra clip). Parte da equipe também atuou no reparo de vazamento em rede antiga.",parcial,mensagem_web_20260316_110742.txt,10/03/2026,Viela 3 / Viela 4 / Viela 5,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0002,F002,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,ocorrencia_operacional,⚠️ Obs: Produção afetada pelo tempo chuvoso. Equipe atuando também na resolução de pendências e execução de novo ramal para imóvel não localizado anteriormente.,parcial,mensagem_web_20260316_110742.txt,10/03/2026,Tv. Haitiana / Rua Dezesseis / Tv. do Alemão / Tv. do Bala / Tv. da Bete / Travessa Haitiana,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,
O0003,F003,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,clima,⚠️ Obs: Equipe também realizou conferência de leituras de hidrômetros e endereços dos imóveis. Produção impactada pela chuva.,parcial,mensagem_web_20260316_110742.txt,10/03/2026,Tv. Haitiana / Rua Dezesseis / Tv. do Alemão / Tv. do Bala / Tv. da Bete / Travessa Haitiana,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,
O0001,F001,10/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,clima,"⚠️ Obs: Produção impactada pela chuva, além de falhas em equipamentos (motor de arranque do caminhão, perfuratriz pneumática e serra clip). Parte da equipe também atuou no reparo de vazamento em rede antiga.",parcial,mensagem_web_20260316_113210.txt,10/03/2026,Viela 3 / Viela 4 / Viela 5,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0002,F002,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,ocorrencia_operacional,⚠️ Obs: Produção afetada pelo tempo chuvoso. Equipe atuando também na resolução de pendências e execução de novo ramal para imóvel não localizado anteriormente.,parcial,mensagem_web_20260316_113210.txt,10/03/2026,Tv. Haitiana / Rua Dezesseis / Tv. do Alemão / Tv. do Bala / Tv. da Bete / Travessa Haitiana,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,
O0003,F003,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,clima,⚠️ Obs: Equipe também realizou conferência de leituras de hidrômetros e endereços dos imóveis. Produção impactada pela chuva.,parcial,mensagem_web_20260316_113210.txt,10/03/2026,Tv. Haitiana / Rua Dezesseis / Tv. do Alemão / Tv. do Bala / Tv. da Bete / Travessa Haitiana,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,
O0001,F001,10/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,clima,"⚠️ Obs: Produção impactada pela chuva, além de falhas em equipamentos (motor de arranque do caminhão, perfuratriz pneumática e serra clip). Parte da equipe também atuou no reparo de vazamento em rede antiga.",parcial,mensagem_web_20260316_131741.txt,10/03/2026,Viela 3 / Viela 4 / Viela 5,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0002,F002,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,ocorrencia_operacional,⚠️ Obs: Produção afetada pelo tempo chuvoso. Equipe atuando também na resolução de pendências e execução de novo ramal para imóvel não localizado anteriormente.,parcial,mensagem_web_20260316_131741.txt,10/03/2026,Tv. Haitiana / Rua Dezesseis / Tv. do Alemão / Tv. do Bala / Tv. da Bete / Travessa Haitiana,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,
O0003,F003,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,clima,⚠️ Obs: Equipe também realizou conferência de leituras de hidrômetros e endereços dos imóveis. Produção impactada pela chuva.,parcial,mensagem_web_20260316_131741.txt,10/03/2026,Tv. Haitiana / Rua Dezesseis / Tv. do Alemão / Tv. do Bala / Tv. da Bete / Travessa Haitiana,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,
O0001,F002,11/03/2026,Oeste 1,Água Legal,Cerejas,Sidney,clima,⚠️ Obs: Produção afetada pela chuva. Equipe atuando também na resolução de pendências.,parcial,mensagem_web_20260316_132655.txt,11/03/2026,Rua Dezesseis / Tv. Haitiana / Travessa da Bete / Travessa Haitiana,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,
O0001,F001,12/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,clima,⚠️ Obs: Serviço executado para evitar infiltração em imóveis próximos. Atividades interrompidas posteriormente devido à tempestade ⛈️.,sim,mensagem_web_20260316_132823.txt,12/03/2026,Viela Seis / Viela Quatro / Viela 4 / Viela 1 / Viela B,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0002,F002,12/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,clima,⚠️ Obs: Não foi possível dar continuidade ao prolongamento da rede devido às chuvas intensas.,sim,mensagem_web_20260316_132823.txt,12/03/2026,Viela Seis / Viela Quatro / Viela 4 / Viela 1 / Viela B,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0003,F004,12/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,clima,⚠️ Obs: Produção impactada devido à chuva.,parcial,mensagem_web_20260316_132823.txt,12/03/2026,Rua Dezesseis,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,
O0004,F005,12/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,clima,⚠️ Obs: Equipe atuando na resolução de pendências no núcleo. Produção afetada pela chuva.,parcial,mensagem_web_20260316_132823.txt,12/03/2026,Rua Dezesseis,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,
O0001,F001,13/03/2026,Oeste 1,Água Legal,Savoy,Sidney,ocorrencia_operacional,⚠️ Obs: Equipe atuando na resolução de pendências no núcleo. Parte das atividades não foi executada devido à ausência de moradores nas residências.,parcial,mensagem_web_20260316_132916.txt,13/03/2026,Rua General Carneiro,Carapicuíba,Savoy,Carapicuíba,Savoy,Carapicuíba,cadastrado,sim
O0001,F001,14/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,ocorrencia_operacional,⚠️ Obs: Foi executado contrapiso para evitar infiltração em imóvel próximo.,parcial,mensagem_web_20260316_133038.txt,14/03/2026,Viela Um / Viela Três,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0002,F002,14/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,ocorrencia_operacional,⚠️ Obs: Equipe reduzida no dia. Aguardando confirmação da viela onde parte do prolongamento foi executado.,parcial,mensagem_web_20260316_133038.txt,14/03/2026,Viela Um / Viela Três,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0003,F003,14/03/2026,Oeste 1,Água Legal,Savoy,Sidney,ocorrencia_operacional,⚠️ Obs: Equipe atuando na resolução de pendências e com efetivo reduzido.,parcial,mensagem_web_20260316_133038.txt,14/03/2026,Rua General Carneiro,Carapicuíba,Savoy,Carapicuíba,Savoy,Carapicuíba,cadastrado,sim
O0001,F001,14/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,ocorrencia_operacional,⚠️ Obs: Foi executado contrapiso para evitar infiltração em imóvel próximo.,parcial,mensagem_web_20260316_142052.txt,14/03/2026,Viela Um / Viela Três,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0002,F002,14/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,ocorrencia_operacional,⚠️ Obs: Equipe reduzida no dia. Aguardando confirmação da viela onde parte do prolongamento foi executado.,parcial,mensagem_web_20260316_142052.txt,14/03/2026,Viela Um / Viela Três,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0003,F003,14/03/2026,Oeste 1,Água Legal,Savoy,Sidney,ocorrencia_operacional,⚠️ Obs: Equipe atuando na resolução de pendências e com efetivo reduzido.,parcial,mensagem_web_20260316_142052.txt,14/03/2026,Rua General Carneiro,Carapicuíba,Savoy,Carapicuíba,Savoy,Carapicuíba,cadastrado,sim
O0001,F001,14/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,ocorrencia_operacional,⚠️ Obs: Foi executado contrapiso para evitar infiltração em imóvel próximo.,parcial,mensagem_web_20260317_193737.txt,14/03/2026,Viela Um / Viela Três,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0002,F002,14/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,ocorrencia_operacional,⚠️ Obs: Equipe reduzida no dia. Aguardando confirmação da viela onde parte do prolongamento foi executado.,parcial,mensagem_web_20260317_193737.txt,14/03/2026,Viela Um / Viela Três,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0003,F003,14/03/2026,Oeste 1,Água Legal,Savoy,Sidney,ocorrencia_operacional,⚠️ Obs: Equipe atuando na resolução de pendências e com efetivo reduzido.,parcial,mensagem_web_20260317_193737.txt,14/03/2026,Rua General Carneiro,Carapicuíba,Savoy,Barueri,Savoy,Carapicuíba,cadastrado,sim
O0001,F001,12/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,clima,⚠️ Obs: Serviço executado para evitar infiltração em imóveis próximos. Atividades interrompidas posteriormente devido à tempestade ⛈️.,sim,mensagem_web_20260318_132220.txt,12/03/2026,Viela Seis / Viela Quatro / Viela 4 / Viela 1 / Viela B,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0002,F002,12/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,clima,⚠️ Obs: Não foi possível dar continuidade ao prolongamento da rede devido às chuvas intensas.,sim,mensagem_web_20260318_132220.txt,12/03/2026,Viela Seis / Viela Quatro / Viela 4 / Viela 1 / Viela B,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,
O0003,F004,12/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,clima,⚠️ Obs: Produção impactada devido à chuva.,parcial,mensagem_web_20260318_132220.txt,12/03/2026,Rua Dezesseis,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,
O0004,F005,12/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,clima,⚠️ Obs: Equipe atuando na resolução de pendências no núcleo. Produção afetada pela chuva.,parcial,mensagem_web_20260318_132220.txt,12/03/2026,Rua Dezesseis,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,
O0001,F001,13/03/2026,Oeste 1,Água Legal,Savoy,Sidney,ocorrencia_operacional,⚠️ Obs: Equipe atuando na resolução de pendências no núcleo. Parte das atividades não foi executada devido à ausência de moradores nas residências.,parcial,mensagem_web_20260318_134847.txt,13/03/2026,Rua General Carneiro,Carapicuíba,Savoy,Carapicuiba,Savoy,Carapicuíba,cadastrado,sim
O0001,F001,13/03/2026,Oeste 1,Água Legal,Savoy,Sidney,ocorrencia_operacional,⚠️ Obs: Equipe atuando na resolução de pendências no núcleo. Parte das atividades não foi executada devido à ausência de moradores nas residências.,parcial,mensagem_web_20260318_135015.txt,13/03/2026,Rua General Carneiro,Carapicuíba,Savoy,Carapicuíba,Savoy,Carapicuíba,cadastrado,
